target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,skill_score,skill_vs_persistence,skill_vs_ridge,rmse_excl_capacity_zero,n_samples,n_at_capacity,n_zero_power
TB08_power_target_24hour,lightgbm,24hour,397.7438,508.2993,18.0793,23.1045,5.8234,0.3175,1766.6924,0.1198,0.1198,-0.0705,525.4089,21555,0,4317
TB09_power_target_10min,xgboost,10min,93.1651,150.0145,4.2348,6.8188,7.4745,0.9408,1853.6642,0.0245,0.0245,-0.0272,156.3913,22465,0,4727
TB09_power_target_10min,lightgbm,10min,92.9327,152.7628,4.2242,6.9438,7.1713,0.9386,1833.4604,0.0067,0.0067,-0.046,155.8246,22465,0,4727
TB09_power_target_30min,xgboost,30min,166.2708,250.7743,7.5578,11.3988,16.706,0.8342,1923.8107,0.0321,0.0321,-0.0456,253.6102,22465,0,4729
TB09_power_target_30min,lightgbm,30min,162.9754,252.1981,7.408,11.4636,11.8835,0.8323,1896.8535,0.0266,0.0266,-0.0515,254.1803,22465,0,4729
TB09_power_target_1hour,xgboost,1hour,220.9809,323.6353,10.0446,14.7107,9.6091,0.7237,2011.8644,0.0684,0.0684,-0.0533,329.3098,22465,0,4734
TB09_power_target_1hour,lightgbm,1hour,219.2473,323.2477,9.9658,14.6931,11.5309,0.7243,1982.8141,0.0695,0.0695,-0.0521,328.3823,22465,0,4734
TB09_power_target_6hour,xgboost,6hour,329.6714,431.6761,14.9851,19.6216,24.9522,0.5049,1830.3232,0.4308,0.4308,0.0527,445.1966,22308,0,4612
TB09_power_target_6hour,lightgbm,6hour,325.1444,429.4361,14.7793,19.5198,15.2181,0.5101,1798.2901,0.4337,0.4337,0.0576,445.8494,22308,0,4612
TB09_power_target_24hour,xgboost,24hour,393.6297,501.6055,17.8923,22.8002,30.0105,0.3324,1821.5109,0.127,0.127,-0.0396,510.5163,21566,0,4525
TB09_power_target_24hour,lightgbm,24hour,386.5657,500.1176,17.5712,22.7326,12.6512,0.3363,2021.8747,0.1296,0.1296,-0.0365,513.8908,21566,0,4525
TB10_power_target_10min,xgboost,10min,93.4733,141.4437,4.2488,6.4293,3.8789,0.9388,1662.8179,0.0581,0.0581,-0.0098,154.1161,22137,0,4238
TB10_power_target_10min,lightgbm,10min,93.5021,141.1081,4.2501,6.414,2.9379,0.939,1733.0547,0.0604,0.0604,-0.0074,153.9129,22137,0,4238
TB10_power_target_30min,xgboost,30min,157.7552,230.3965,7.1707,10.4726,3.2793,0.8373,1921.6313,0.0697,0.0697,-0.0171,247.9642,22143,0,4237
TB10_power_target_30min,lightgbm,30min,155.7527,229.1838,7.0797,10.4174,3.7888,0.839,1919.6228,0.0746,0.0746,-0.0117,247.6089,22143,0,4237
TB10_power_target_1hour,xgboost,1hour,218.5072,299.6792,9.9321,13.6218,12.5737,0.7245,1813.966,0.0834,0.0834,-0.0441,316.7981,22152,0,4234
TB10_power_target_1hour,lightgbm,1hour,209.4002,296.896,9.5182,13.4953,-0.5549,0.7296,1910.5542,0.0919,0.0919,-0.0344,319.3934,22152,0,4234
TB10_power_target_6hour,xgboost,6hour,325.3154,424.067,14.7871,19.2758,16.4023,0.4477,1753.7261,0.3773,0.3773,0.0251,441.2475,22013,0,4142
TB10_power_target_6hour,lightgbm,6hour,322.7042,425.2861,14.6684,19.3312,6.8958,0.4445,1751.0953,0.3752,0.3752,0.0223,443.3517,22013,0,4142
TB10_power_target_24hour,xgboost,24hour,387.5546,490.4629,17.6161,22.2938,23.0295,0.263,1739.3307,0.1116,0.1116,-0.0776,493.622,21234,0,4056
TB10_power_target_24hour,lightgbm,24hour,371.7136,480.5708,16.8961,21.8441,1.4491,0.2924,1733.1568,0.1323,0.1323,-0.0559,490.356,21234,0,4056
TB11_power_target_10min,xgboost,10min,96.5517,149.8775,4.3887,6.8126,0.8232,0.9385,1581.4021,0.0649,0.0649,-0.007,165.6994,22465,0,4620
TB11_power_target_10min,lightgbm,10min,96.2146,149.6449,4.3734,6.802,-1.6427,0.9387,1584.919,0.0664,0.0664,-0.0054,165.6453,22465,0,4620
TB11_power_target_30min,xgboost,30min,173.5582,247.8386,7.889,11.2654,5.2493,0.8319,1878.9994,0.0649,0.0649,-0.0296,267.4434,22465,0,4617
TB11_power_target_30min,lightgbm,30min,167.8225,244.1778,7.6283,11.099,3.314,0.8369,1911.6459,0.0787,0.0787,-0.0144,266.0061,22465,0,4617
TB11_power_target_1hour,xgboost,1hour,230.8595,317.331,10.4936,14.4241,6.6095,0.7246,1845.2096,0.09,0.09,-0.0391,339.5549,22465,0,4611
TB11_power_target_1hour,lightgbm,1hour,220.6084,314.5112,10.0277,14.296,-7.3149,0.7295,1885.4277,0.0981,0.0981,-0.0299,342.3316,22465,0,4611
TB11_power_target_6hour,xgboost,6hour,356.357,462.5272,16.198,21.024,0.3228,0.4126,1774.244,0.3694,0.3694,-0.0168,488.1566,22308,0,4487
TB11_power_target_6hour,lightgbm,6hour,345.02,447.4847,15.6827,20.3402,7.1293,0.4502,1850.1419,0.3899,0.3899,0.0162,472.5224,22308,0,4487
TB11_power_target_24hour,xgboost,24hour,415.2422,517.0299,18.8746,23.5014,31.0128,0.2678,1724.9853,0.1167,0.1167,-0.0771,523.2122,21565,0,4381
TB11_power_target_24hour,lightgbm,24hour,401.4834,504.1582,18.2492,22.9163,20.1182,0.3038,1765.7687,0.1387,0.1387,-0.0502,515.5963,21565,0,4381
TB12_power_target_10min,xgboost,10min,117.178,204.9203,5.3263,9.3146,38.7635,0.8653,1821.5312,-0.3555,-0.3555,-0.3969,168.1817,21591,0,6201
TB12_power_target_10min,lightgbm,10min,117.5182,205.5292,5.3417,9.3422,39.8627,0.8645,1585.2284,-0.3594,-0.3594,-0.401,166.4332,21591,0,6201
TB12_power_target_30min,xgboost,30min,188.1767,279.3879,8.5535,12.6994,57.43,0.7496,1827.7503,-0.1246,-0.1246,-0.1951,259.4234,21593,0,6213
TB12_power_target_30min,lightgbm,30min,179.1464,268.0812,8.143,12.1855,46.7262,0.7695,1944.3942,-0.079,-0.079,-0.1468,259.6028,21593,0,6213
TB12_power_target_1hour,xgboost,1hour,246.0234,338.6472,11.1829,15.3931,74.0134,0.6321,1806.6746,-0.0462,-0.0462,-0.1502,319.5932,21596,0,6222
TB12_power_target_1hour,lightgbm,1hour,235.1152,328.27,10.6871,14.9214,61.4143,0.6543,1886.0958,-0.014,-0.014,-0.1149,320.7224,21596,0,6222
