fold,model,target,mae,rmse,r2,n_val
2,lightgbm,TB06_power_target_1hour,219.6018,314.4662,0.7212,43782
3,xgboost,TB06_power_target_1hour,251.1093,340.4988,0.7098,36070
3,lightgbm,TB06_power_target_1hour,239.6864,334.3796,0.7201,36070
1,xgboost,TB06_power_target_6hour,398.5603,503.6343,0.3079,46049
1,lightgbm,TB06_power_target_6hour,386.0671,493.2046,0.3362,46049
2,xgboost,TB06_power_target_6hour,346.1763,453.4238,0.4189,43754
2,lightgbm,TB06_power_target_6hour,342.1853,451.3586,0.4241,43754
3,xgboost,TB06_power_target_6hour,376.9055,485.9448,0.4081,36044
3,lightgbm,TB06_power_target_6hour,367.1372,479.5353,0.4236,36044
1,xgboost,TB06_power_target_24hour,442.4061,553.4209,0.1634,46032
1,lightgbm,TB06_power_target_24hour,431.2174,546.228,0.185,46032
2,xgboost,TB06_power_target_24hour,447.3114,544.1188,0.1611,45643
2,lightgbm,TB06_power_target_24hour,429.7279,530.1761,0.2035,45643
3,xgboost,TB06_power_target_24hour,456.0316,567.7777,0.1985,44290
3,lightgbm,TB06_power_target_24hour,448.9083,563.1521,0.2115,44290
1,xgboost,TB07_power_target_10min,115.9342,174.3003,0.9175,46073
1,lightgbm,TB07_power_target_10min,107.6382,169.2534,0.9222,46073
2,xgboost,TB07_power_target_10min,101.7107,157.9166,0.9283,43799
2,lightgbm,TB07_power_target_10min,101.5487,157.2924,0.9289,43799
3,xgboost,TB07_power_target_10min,109.4097,172.5747,0.9235,36094
3,lightgbm,TB07_power_target_10min,108.5922,170.1137,0.9257,36094
1,xgboost,TB07_power_target_30min,190.9108,274.8045,0.7948,46073
1,lightgbm,TB07_power_target_30min,187.5586,272.1294,0.7988,46073
2,xgboost,TB07_power_target_30min,173.5722,254.4752,0.8138,43797
2,lightgbm,TB07_power_target_30min,173.7109,253.4267,0.8153,43797
3,xgboost,TB07_power_target_30min,186.9097,268.488,0.8148,36090
3,lightgbm,TB07_power_target_30min,186.5406,267.9926,0.8155,36090
1,xgboost,TB07_power_target_1hour,256.4757,347.022,0.673,46065
1,lightgbm,TB07_power_target_1hour,245.4508,338.6887,0.6885,46065
2,xgboost,TB07_power_target_1hour,237.6482,324.4786,0.6973,43788
2,lightgbm,TB07_power_target_1hour,227.7467,317.785,0.7097,43788
3,xgboost,TB07_power_target_1hour,253.1792,347.0207,0.6905,36078
3,lightgbm,TB07_power_target_1hour,247.6403,342.657,0.6982,36078
1,xgboost,TB07_power_target_6hour,393.0087,496.0947,0.3334,46053
1,lightgbm,TB07_power_target_6hour,380.5147,485.3609,0.362,46053
2,xgboost,TB07_power_target_6hour,361.8788,463.6587,0.3816,43760
2,lightgbm,TB07_power_target_6hour,350.7123,454.8371,0.4049,43760
3,xgboost,TB07_power_target_6hour,378.0669,482.0869,0.3996,36005
3,lightgbm,TB07_power_target_6hour,364.8538,475.3743,0.4162,36005
1,xgboost,TB07_power_target_24hour,454.7695,564.2867,0.1366,46035
1,lightgbm,TB07_power_target_24hour,442.5004,557.5508,0.1571,46035
2,xgboost,TB07_power_target_24hour,444.271,540.6035,0.1598,43761
2,lightgbm,TB07_power_target_24hour,444.2498,540.0846,0.1614,43761
3,xgboost,TB07_power_target_24hour,447.4478,559.3391,0.1719,36023
3,lightgbm,TB07_power_target_24hour,450.2576,555.2942,0.1839,36023
1,xgboost,TB08_power_target_10min,100.5603,160.0505,0.9334,46072
1,lightgbm,TB08_power_target_10min,103.6107,160.481,0.9331,46072
2,xgboost,TB08_power_target_10min,96.5927,154.8389,0.9337,43798
2,lightgbm,TB08_power_target_10min,98.7345,154.9033,0.9336,43798
3,xgboost,TB08_power_target_10min,98.4175,154.2899,0.9422,36094
3,lightgbm,TB08_power_target_10min,96.3072,152.056,0.9439,36094
1,xgboost,TB08_power_target_30min,183.59,264.543,0.8181,46071
1,lightgbm,TB08_power_target_30min,179.485,260.8126,0.8232,46071
2,xgboost,TB08_power_target_30min,180.9776,259.3272,0.814,43793
2,lightgbm,TB08_power_target_30min,167.8189,252.4538,0.8237,43793
3,xgboost,TB08_power_target_30min,182.7995,262.7283,0.8324,36090
3,lightgbm,TB08_power_target_30min,172.6569,256.8978,0.8397,36090
1,xgboost,TB08_power_target_1hour,248.8273,337.3179,0.7044,46063
1,lightgbm,TB08_power_target_1hour,236.8551,328.3025,0.72,46063
2,xgboost,TB08_power_target_1hour,234.5901,325.6899,0.7065,43781
2,lightgbm,TB08_power_target_1hour,215.0368,315.8956,0.7239,43781
3,xgboost,TB08_power_target_1hour,234.9475,334.1823,0.7287,36081
3,lightgbm,TB08_power_target_1hour,230.7887,331.338,0.7333,36081
1,xgboost,TB08_power_target_6hour,397.9828,503.8177,0.3424,46044
1,lightgbm,TB08_power_target_6hour,389.2457,493.3753,0.3694,46044
2,xgboost,TB08_power_target_6hour,349.2126,458.6644,0.4173,43740
2,lightgbm,TB08_power_target_6hour,341.4019,453.4238,0.4305,43740
3,xgboost,TB08_power_target_6hour,375.127,485.7067,0.426,36050
3,lightgbm,TB08_power_target_6hour,362.9542,479.7351,0.44,36050
1,xgboost,TB08_power_target_24hour,455.0526,567.5692,0.1639,46071
