timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-16,2026-01-16,TB10,30,65.72,0.0,424.33,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB10,30,65.14,0.0,427.43,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB10,60,99.85,0.0,585.95,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB10,60,95.27,0.0,577.25,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB10,360,226.26,0.0,956.49,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB10,360,255.14,0.0,983.96,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB10,1440,294.19,0.0,1140.57,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB10,1440,288.69,0.0,1114.37,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB11,10,50.2,0.0,287.44,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB11,10,52.68,0.0,291.45,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB11,30,78.31,0.0,475.77,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB11,30,78.15,0.0,478.94,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB11,60,104.25,0.0,630.7,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB11,60,110.32,0.0,629.93,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB11,360,266.04,0.0,1022.16,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB11,360,339.65,0.0,1114.76,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB11,1440,298.97,0.0,1166.28,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB11,1440,339.31,0.0,1198.74,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB12,10,40.49,0.0,329.06,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB12,10,38.75,0.0,330.06,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB12,30,65.61,0.0,502.23,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB12,30,71.72,0.0,514.27,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB12,60,99.26,0.0,655.94,2.0.0_lightgbm,production
2026-01-16,2026-01-16,TB12,60,107.5,0.0,693.74,2.0.0_xgboost,production
2026-01-16,2026-01-16,TB12,360,176.78,0.0,966.84,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB12,360,216.9,0.0,1005.36,2.0.0_xgboost,reference_only
2026-01-16,2026-01-16,TB12,1440,314.15,0.0,1182.56,2.0.0_lightgbm,reference_only
2026-01-16,2026-01-16,TB12,1440,298.6,0.0,1153.09,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB01,10,382.16,248.34,616.64,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB01,10,382.72,249.17,613.4,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB01,30,383.23,158.35,774.79,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB01,30,400.8,162.45,793.94,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB01,60,371.41,95.61,889.06,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB01,60,409.24,94.33,939.94,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB01,360,438.91,3.17,1226.9,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB01,360,394.33,0.34,1183.5,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB01,1440,553.02,15.34,1428.02,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB01,1440,557.17,14.52,1433.77,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB02,10,331.3,205.43,561.32,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB02,10,359.15,207.12,589.96,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB02,30,343.5,133.7,729.75,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB02,30,346.05,128.96,735.91,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB02,60,336.02,70.4,855.52,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB02,60,348.3,71.95,866.47,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB02,360,414.94,1.07,1204.26,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB02,360,397.79,2.22,1182.36,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB02,1440,514.56,5.06,1424.99,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB02,1440,527.39,6.81,1426.93,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB03,10,260.76,128.68,495.79,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB03,10,255.99,126.42,493.42,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB03,30,288.48,76.14,686.63,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB03,30,309.35,80.34,706.83,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB03,60,330.73,46.03,854.51,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB03,60,358.11,41.91,889.21,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB03,360,345.02,0.0,1143.4,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB03,360,355.25,0.0,1143.98,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB03,1440,471.24,0.0,1352.78,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB03,1440,516.38,1.97,1392.78,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB04,10,435.84,300.62,663.11,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB04,10,438.5,298.19,673.24,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB04,30,429.65,211.94,817.4,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB04,30,459.41,213.79,849.17,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB04,60,418.34,135.14,929.77,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB04,60,441.72,140.86,955.41,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB04,360,443.3,1.96,1220.28,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB04,360,491.22,5.01,1294.97,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB04,1440,518.03,9.03,1441.07,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB04,1440,535.41,12.08,1448.68,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB05,10,252.66,112.87,514.26,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB05,10,252.16,112.58,517.76,2.0.0_xgboost,production
