timestamp,ramp_type,expected_change,probability,threshold,affected_turbines,method,confirmed,verification_status
2026-02-03T00:00:00.000000000,ramp_down,-1.4712,0.2942,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-02-18T05:30:00.000000000,ramp_up,1.2117,0.2423,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-02-24T21:00:00.000000000,ramp_up,1.2921,0.2584,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-03-16T01:30:00.000000000,ramp_up,1.0726,0.2145,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-03-16T01:50:00.000000000,ramp_down,-1.1557,0.2311,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-05-26T16:40:00.000000000,ramp_down,-1.1243,0.2249,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-05-27T16:10:00.000000000,ramp_up,1.3567,0.2713,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-05-29T01:20:00.000000000,ramp_up,1.4038,0.2808,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-05-29T01:50:00.000000000,ramp_down,-1.1805,0.2361,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-06-02T00:00:00.000000000,ramp_down,-1.0454,0.2091,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-06-05T00:00:00.000000000,ramp_up,1.128,0.2256,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-06-16T22:40:00.000000000,ramp_up,1.0252,0.205,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-07-02T00:00:00.000000000,ramp_down,-1.0502,0.21,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-07-22T15:00:00.000000000,ramp_down,-1.4322,0.2864,0.1,TB04,heuristic_screening,False,SCREENING_ONLY
2026-02-03T00:00:00.000000000,ramp_down,-1.2671,0.2534,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-03-01T00:00:00.000000000,ramp_up,1.502,0.3004,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-03-02T06:20:00.000000000,ramp_up,1.1115,0.2223,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-03-15T17:10:00.000000000,ramp_down,-1.717,0.3434,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-04-01T00:00:00.000000000,ramp_up,1.4461,0.2892,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-05-26T17:00:00.000000000,ramp_up,1.5926,0.3185,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:10:00.000000000,ramp_down,-1.4334,0.2867,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:30:00.000000000,ramp_up,1.0045,0.2009,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:40:00.000000000,ramp_down,-1.2425,0.2485,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-05-30T11:50:00.000000000,ramp_down,-1.1184,0.2237,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-06-03T12:10:00.000000000,ramp_down,-1.0117,0.2023,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-07-24T16:10:00.000000000,ramp_down,-1.0707,0.2141,0.1,TB05,heuristic_screening,False,SCREENING_ONLY
2026-02-02T23:50:00.000000000,ramp_down,-1.0536,0.2107,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-02-17T03:30:00.000000000,ramp_down,-1.1841,0.2368,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-02-20T03:40:00.000000000,ramp_down,-1.0847,0.2169,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-03-01T00:00:00.000000000,ramp_up,1.1985,0.2397,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-03-02T05:50:00.000000000,ramp_down,-1.0944,0.2189,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-03-02T06:10:00.000000000,ramp_up,1.1572,0.2314,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-03-13T01:40:00.000000000,ramp_up,1.4062,0.2812,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-03-15T19:30:00.000000000,ramp_up,1.0542,0.2108,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-04-01T00:00:00.000000000,ramp_up,1.5591,0.3118,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-05-26T16:40:00.000000000,ramp_down,-1.1358,0.2272,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-05-26T17:00:00.000000000,ramp_up,1.2825,0.2565,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-05-26T18:30:00.000000000,ramp_up,1.1849,0.237,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-05-29T01:20:00.000000000,ramp_up,1.3862,0.2772,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-06-01T12:00:00.000000000,ramp_up,1.1308,0.2262,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-06-02T00:00:00.000000000,ramp_down,-1.3007,0.2601,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-06-16T23:40:00.000000000,ramp_up,1.0014,0.2003,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-07-01T00:00:00.000000000,ramp_up,1.0817,0.2163,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-07-14T11:30:00.000000000,ramp_up,1.051,0.2102,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-07-22T15:00:00.000000000,ramp_down,-1.2777,0.2555,0.1,TB06,heuristic_screening,False,SCREENING_ONLY
2026-03-01T00:00:00.000000000,ramp_up,1.5437,0.3087,0.1,TB07,heuristic_screening,False,SCREENING_ONLY
