model_key                   , status, target_column_not_in_X, future_timestamp_not_used, fit_only_on_train, prediction_timestamp_gt_issue, duplicated_rows, feature_leakage, target_leakage, failed_checks
ModelStatusTB09_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB09_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB10_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB11_24hour_LGBM , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_10min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_10min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_10min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_30min_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_30min_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_30min_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_1hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_1hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_1hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_6hour_Ridge , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_6hour_XGB   , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_6hour_LGBM  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_24hour_Ridge, PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
ModelStatusTB12_24hour_XGB  , PASS  , True                  , True                     , True             , True                         , False          , False          , False         , 
